,zipcode,count,amusement arcade,amusement device permanent,amusement device portable,amusement device temporary,auction house premises,auctioneer,bingo game operator,booting company,cabaret,catering establishment,cigarette retail dealer,commercial lessor,dealer in products,debt collection agency,electronic & appliance service,electronics store,employment agency,games of chance,gaming cafe,garage,garage and parking lot,general vendor,general vendor distributor,home improvement contractor,home improvement salesperson,horse drawn cab owner,horse drawn driver,laundries,laundry,laundry jobber,locksmith,locksmith apprentice,motion picture projectionist,newsstand,parking lot,pawnbroker,pedicab business,pedicab driver,pool or billiard room,process server individual,process serving agency,scale dealer repairer,scrap metal processor,secondhand dealer - auto,secondhand dealer - firearms,secondhand dealer - general,sidewalk cafe,sightseeing bus,special sale,stoop line stand,storage warehouse,ticket seller,tow truck company,tow truck driver,tow truck exemption
12,10014,326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,48.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,0.0,16.0,2.0,3.0,0.0,25.0,29.0,0.0,0.0,2.0,11.0,23.0,7.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,93.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0
13,10016,470,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,8.0,5.0,16.0,17.0,16.0,2.0,0.0,61.0,0.0,9.0,0.0,61.0,36.0,0.0,0.0,0.0,13.0,49.0,9.0,0.0,1.0,9.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,23.0,30.0,0.0,0.0,14.0,0.0,7.0,0.0,4.0,0.0
14,10017,314,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,1.0,4.0,7.0,15.0,11.0,2.0,0.0,27.0,0.0,4.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,1.0,11.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,7.0,1.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
15,10018,355,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,74.0,0.0,1.0,2.0,21.0,26.0,24.0,3.0,0.0,14.0,0.0,0.0,0.0,49.0,22.0,24.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,15.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,1.0,0.0,10.0,0.0,2.0,4.0,0.0,0.0
16,10019,550,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,106.0,0.0,2.0,3.0,10.0,22.0,17.0,2.0,0.0,61.0,3.0,22.0,0.0,30.0,25.0,36.0,5.0,0.0,7.0,27.0,8.0,0.0,1.0,28.0,5.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,23.0,41.0,2.0,0.0,13.0,1.0,4.0,1.0,4.0,0.0
17,10020,71,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,10021,338,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,36.0,0.0,4.0,1.0,4.0,5.0,0.0,1.0,0.0,59.0,2.0,4.0,0.0,27.0,26.0,0.0,2.0,1.0,12.0,41.0,11.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,0.0,0.0,14.0,0.0,1.0,1.0,3.0,0.0
19,10022,463,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,3.0,1.0,72.0,0.0,2.0,1.0,8.0,15.0,4.0,1.0,0.0,48.0,5.0,4.0,0.0,42.0,21.0,0.0,0.0,2.0,4.0,37.0,7.0,0.0,0.0,13.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,107.0,28.0,0.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0
20,10023,315,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,1.0,9.0,8.0,4.0,1.0,0.0,32.0,1.0,5.0,0.0,21.0,23.0,0.0,3.0,2.0,11.0,36.0,17.0,0.0,0.0,12.0,3.0,0.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,0.0,0.0,13.0,0.0,2.0,0.0,2.0,0.0
21,10024,357,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0,8.0,9.0,0.0,3.0,0.0,20.0,1.0,5.0,0.0,39.0,43.0,0.0,2.0,2.0,12.0,35.0,5.0,1.0,2.0,13.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,72.0,0.0,0.0,18.0,0.0,5.0,0.0,1.0,0.0
